# SPDX-FileCopyrightText: 2026 The Oxys-OS Authors
# SPDX-License-Identifier: CC0-1.0
#
# The build register. One row per image produced; the schema and the reasoning
# are docs/project/BUILDS.md, and tools/builds.sh is what writes and validates
# it.
#
# It holds no rows. Every one of the twelve it held was removed at the project
# owner's direction on 2026-09-13, together with every archived image, and
# nothing is recorded here again until `Oxys 1 Alpha` — which docs/project/PLAN.md
# fixes at sub-task 8.7. The machinery is untouched: `make build-record` still
# works and would append row 1 the moment it is run.
#
# **Numbering restarts at 1**, by the owner's decision. A number issued before
# the clearing and a number issued after it are therefore different images, and
# what tells them apart is the date in the row — not the number. Every document
# that cited a number as a way of pointing at an image has stopped doing so;
# docs/project/TESTING-RECORD.md, which is an account of runs and is not edited
# after the fact, says so at its head.
number	date	commit	dirty	compiler	cc_version	kernel	iso	result	assertions	environments	sha256	note
11	2026-09-23T19:57Z	1c31a78	yes	gcc	13.2.0	3552808	10780672	failed	-		-	Negative test of the smooth mark and icons: the version-1 icon shipped and a logo byte with ink beyond coverage; both self-tests failed as intended, reverted
12	2026-09-23T20:06Z	7f1c530	yes	gcc	13.2.0	3552616	10780672	passed	74		639183da251b9eed2091f0a78419a0c02d2c6b9be5fa0ad7f15b0675dac5b6c9	The mark and the icons at the resolution they are shown at: logo coverage table of 192, icon format version 2 at 48. Dirty only by the register's own uncommitted row 11; the source is exactly 7f1c530
13	2026-09-23T20:47Z	27cf149	no	gcc	13.2.0	3631256	10860544	passed	75		0761b94e54f5ee1665874d23dd42d8195222fadc1f4a0872b7b68431a86c3e5b	A background upon the system's own filesystem, and windows that minimise and fill the screen
14	2026-09-23T20:48Z	27cf149	yes	gcc	13.2.0	3631016	10858496	failed	-		-	Negative test of the background and window states: the run-crossing check removed, the root notice not coalesced, a minimised window focusable; all caught, reverted
15	2026-09-23T21:36Z	4cab1ea	no	gcc	13.2.0	3677712	10905600	passed	77		cf05e45e52432edc8a82a15cd4728d6b64f3a8c2a4721b11a8b8598816253c84	Sub-task 9.7: the file manager, the text viewer and the clock
16	2026-09-23T21:36Z	4cab1ea	yes	gcc	13.2.0	3677456	10905600	failed	-		-	Negative test of 9.7: the 12-hour reduction removed, gmtime's weekday from Wednesday, fork copying the alarm; all caught, reverted
17	2026-09-24T01:09Z	ccdd12e	no	gcc	13.2.0	3706552	10934272	passed	78		b3e297c462f317417315a3b51fa488d7fdaad35b18cc96b8a9e88354e5d7416a	The persistent /etc: a labelled volume mounted over the ramdisk's
18	2026-09-24T01:10Z	ccdd12e	yes	gcc	13.2.0	3706448	10934272	failed	-		-	Negative test of the persistent /etc: label prefix accepted, seeding truncating, no write-back on close; all caught, reverted
19	2026-09-24T01:25Z	2b250f0	no	gcc	13.2.0	3713576	10942464	passed	78		-	clear in a terminal window: the grid acts upon the form feed
20	2026-09-24T01:25Z	2b250f0	yes	gcc	13.2.0	3713584	10942464	failed	-		-	Negative test of clear: the grid's form-feed case disabled; caught, reverted
21	2026-09-24T01:38Z	393b437	no	gcc	13.2.0	3715080	10944512	passed	78		-	A write of nothing returns zero, and micro saves files with blank lines
22	2026-09-24T01:38Z	393b437	yes	gcc	13.2.0	3714776	10942464	failed	-		-	Negative test: meant to refuse a write of nothing again, the sed disabled all four length-zero tests of syscall.c (write, read, version, path canonicalisation); caught, reverted
23	2026-09-24T01:55Z	e381ca2	no	gcc	13.2.0	3715328	10944512	passed	78		-	The launcher offers the terminal when the file offers nothing; window create and destroy wake the session
24	2026-09-24T02:27Z	9382d5e	no	gcc	13.2.0	3718160	10946560	passed	78		b113bd493de24e0f08c9a1ff409ef497a4fed47879c77dfc565fe01f7784267e	Settings recoverable without knowing how, and seen without a restart
25	2026-09-24T02:27Z	9382d5e	yes	gcc	13.2.0	3717944	10946560	failed	-		-	Negative test: defaults unstaged, micro's file beside left, no write-back after unlink; all caught, reverted
